image_id,turtle_id,image_location
ID_0014D1K8,t_id_fqDgMhDd,right
ID_001DWTZB,t_id_5XR47555,right
ID_00CWHTC5,t_id_jmfZG8Mw,top
ID_00JE9D7C,t_id_3JFrWhUV,right
ID_00KOI3T9,t_id_2gjH6Omt,left
ID_00PG3JIF,t_id_yuiplDyM,top
ID_00PJC6LP,t_id_tgnFxvDK,top
ID_00QU0R9L,t_id_6lV7RN8m,right
ID_00RQJ3A2,t_id_REJ338G5,left
ID_010A33G6,t_id_eb8speoy,left
ID_016QM9C4,t_id_OQWezplf,top
ID_01F4EYYX,t_id_k5EhbkNO,right
ID_01ISGKCJ,t_id_jzoSWkaG,right
ID_01JBEPXJ,t_id_nRDs0zQt,left
ID_01SE9ZJG,t_id_uD5Iotdh,top
ID_01TKF5IS,t_id_pNDyAp0X,left
ID_01UB983A,t_id_01N0gNOT,left
ID_01VIP90N,t_id_8F97J2A1,right
ID_027Q8Y4L,t_id_NBRQwrd6,left
ID_029UMC8U,t_id_GjMbpCfw,left
ID_02B3GRG1,t_id_kN0ca68K,right
ID_02I3V28Y,t_id_rZDVvIzf,right
ID_02MYIFKJ,t_id_2vME1bGI,right
ID_02VN7VYT,t_id_U1gh4ghL,top
ID_031OAYHS,t_id_Fdv0bBEP,right
ID_034NM5S5,t_id_mUByfFPO,top
ID_03CWP10Y,t_id_UVnltvSp,top
ID_03D5B3XV,t_id_SVDM8sba,top
ID_03ESTDDH,t_id_BKe1VFeR,right
ID_03HIO37A,t_id_8vEFBm5v,right
ID_03KQ1H1S,t_id_kzMIo9Vu,left
ID_03MXXTLJ,t_id_GVPngzdK,top
ID_03TF9POG,t_id_piXVUDLR,right
ID_03X725GU,t_id_94xxqCBH,right
ID_03YWXCW1,t_id_KCRTminN,top
ID_043BOZTN,t_id_GqJWWT1e,top
ID_04L2W41W,t_id_RDv3jcgj,right
ID_04L5RFL5,t_id_9nr22yxk,left
ID_04LIZUR1,t_id_IMYHIjJd,left
ID_04M5W3B6,t_id_Ce8J0NID,top
ID_04O4O351,t_id_xxURmd3p,left
ID_04REX8PR,t_id_mYMZi99k,left
ID_04T5F6GD,t_id_q8Bc7DuO,left
ID_04WWASZA,t_id_9fzItukM,top
ID_051XWLVG,t_id_kTroP2uh,right
ID_05DAELYJ,t_id_6xPyJIUw,top
ID_05M659H9,t_id_DpytUgk7,top
ID_05P6PWBG,t_id_U3tmFSWM,right
ID_05ZS9OWP,t_id_Owed8x3t,top
ID_0696GHDD,t_id_toxwHfZ7,right
ID_06FRODTD,t_id_Yg6VA5hq,right
ID_06PBPCC2,t_id_CB9GKQw3,right
ID_06S2657F,t_id_2TDLRrJZ,right
ID_06Y2USVB,t_id_LGOWuA6j,left
ID_070OYXX7,t_id_cSbCd2KK,right
ID_0711ML1Y,t_id_2TDLRrJZ,top
ID_071C1BB3,t_id_H4nVymq5,right
ID_071E3R40,t_id_jzoSWkaG,left
ID_074LRGZQ,t_id_1yDickOw,top
ID_0753EAA3,t_id_knzn9rHE,top
ID_07M1TCDL,t_id_5EtdVJLA,top
ID_07OURE0J,t_id_n5RckqCx,left
ID_07U2CWE4,t_id_01qG79G3,top
ID_07YL96OZ,t_id_Z2Y4A6Q3,right
ID_08094JSF,t_id_FCcov576,right
ID_080CL80R,t_id_P7iHYwoE,top
ID_0823PZN8,t_id_WOKReLLB,top
ID_08FHJKCE,t_id_3mMMDRXS,top
ID_08N22YGA,t_id_3q7Lhasv,top
ID_08VODKHC,t_id_38UXQfRW,left
ID_08W8Y49I,t_id_o0oYFBmb,top
ID_08WMNDFB,t_id_S57VRGpT,right
ID_08ZNCNID,t_id_9b0MhmYa,right
ID_092H6N2W,t_id_JegGcfCM,right
ID_09QWBVZR,t_id_rMF8pIuF,left
ID_09TUFRWZ,t_id_U22A48Kn,right
ID_09WB24NS,t_id_837gvB2O,right
ID_09XMLAW8,t_id_W4seZUBH,top
ID_09Z77ME1,t_id_ETcuRX6e,left
ID_0A3BSR6Q,t_id_pzHJFALC,left
ID_0AEH3RAW,t_id_89379gOw,left
ID_0AHRQN9V,t_id_YVHLsrzl,left
ID_0AL979W3,t_id_E6m9xo4x,top
ID_0AYD71BI,t_id_NJhCgyzg,right
ID_0AZPAGZ4,t_id_hLhB3vxm,top
ID_0B4P4RR2,t_id_kujkKTUl,right
ID_0BI5952K,t_id_5XR47555,left
ID_0BP9FZBB,t_id_PNuuquLF,left
ID_0BW915O5,t_id_IqygbGCx,left
ID_0BY2FNBS,t_id_G36k48DL,top
ID_0C6ABQ6L,t_id_qBlKgrOX,left
ID_0CDQ4VAU,t_id_XUQF0ZJI,top
ID_0CDUSJS6,t_id_YBC91Qi9,right
ID_0CHF04RD,t_id_6PFhdt0v,left
ID_0CN84HMW,t_id_vAqZbdZ5,right
ID_0CNWAAR1,t_id_4QKirrxR,right
ID_0CPXDAIK,t_id_K3guiWPz,right
ID_0CUPXS2E,t_id_KOrrlNwQ,right
ID_0CWCRQ32,t_id_3VUhQs4i,left
ID_0D4DPAYU,t_id_9fzItukM,top
ID_0D5DRYUK,t_id_Gd4t8vTE,right
ID_0DE6K1HZ,t_id_r0vis5LS,top
ID_0DFCULDP,t_id_ZEP7tuYV,top
ID_0DRTH7YQ,t_id_gloOA8Cm,top
ID_0DT8Q0HB,t_id_E1efzX4D,right
ID_0DWFZMOY,t_id_cEkB1Xkj,left
ID_0E13W1RE,t_id_8Q4ruggg,top
ID_0E5N9OK5,t_id_anexy7LX,right
ID_0E61XN4N,t_id_JZPE1cTr,right
ID_0EGO2V78,t_id_FkNqkcZR,top
ID_0EKV7M84,t_id_Psg2GYqR,left
ID_0EMFQ8EM,t_id_6tqwFPdK,left
ID_0ETY2OST,t_id_YCxHt7En,left
ID_0EU4WR10,t_id_3QIZ45sN,top
ID_0EVSQF0E,t_id_xZJXz3so,top
ID_0F0H58DI,t_id_KPR9uG0j,top
ID_0F0YL4OK,t_id_H4YsBqfs,left
ID_0F5IQPZK,t_id_Fm1eRUoW,left
ID_0FG9QX24,t_id_Pnj3JCZa,top
ID_0FM0TEFY,t_id_7GCihXJu,left
ID_0FND2LU0,t_id_WdyDZZ4t,right
ID_0FUGWAYQ,t_id_zqaXahAn,right
ID_0FXZBB9Q,t_id_CKMQJzfB,right
